actual,predicted
-0.5068222352671867,-0.5008089732624275
-0.5209642662732811,-0.5120056101413984
-0.5351057316094491,-0.530202306066525
-0.5464194129813178,-0.539391914057483
-0.5648031199338627,-0.5590608798318375
-0.5916730071289387,-0.5894505624656725
-0.6114711717335601,-0.6007987533664648
-0.6284412695389175,-0.6228133749059405
-0.6425833005450119,-0.6298155522443017
-0.6425833005450119,-0.634130253632792
-0.6595531155154066,-0.6559376031805629
-0.6623817479845961,-0.6685053217015529
-0.6708662312173489,-0.669395184322904
-0.685008545058407,-0.6795912448452605
-0.7019783600288018,-0.7014195176387971
-0.7161203910348961,-0.7078346723215955
-0.7246051571026116,-0.7098068921291515
-0.7387471881087071,-0.719706897930064
-0.7444036045421958,-0.7398212342604397
-0.7543028282619879,-0.756976227086904
-0.7642023348167437,-0.7596635263098173
-0.7854146742384771,-0.7810959480536387
0.33036925646379817,0.330814003422141
0.35440994551975824,0.36266986558655795
0.343096829817816,0.3461949784439411
0.3487535290862695,0.347461694031698
-0.2565135754731225,-0.2508542951130406
-0.4205578542582484,-0.4233682805101385
-1.0031978789088658,-1.027947676803436
-1.0781488613808992,-1.0753931082309227
-1.5264422784057678,-1.4815563753672953
-0.9183468242121501,-0.9180924094486355
-0.7302618563710641,-0.6922149803580655
-0.7161203910348961,-0.7124664723940289
-0.6906652443268595,-0.6746433087505355
-0.6623817479845961,-0.6641029944911417
-0.699150010394575,-0.6799258653654786
-0.63409796880737,-0.6056759420161917
-0.6397549509107862,-0.6398144391091699
-0.6001574903616914,-0.5384171008022984
-0.4346993195944164,-0.4555414507207211
-0.3357070823964955,-0.33487853457942357
-0.2565135754731225,-0.28662365698422865
-0.3639905787387589,-0.37201148545320933
-0.2876251386146479,-0.29433100834070475
-0.31873726742610076,-0.32078944948067806
-0.2706550408092905,-0.27778241268051895
-0.21550250577684127,-0.22389497846307582
-0.2282300791308591,-0.22542779098478197
-0.18439037696538843,-0.18681597022451005
-0.3540916378539295,-0.3586121245951926
-0.3441924141341374,-0.34827241301409545
-0.30176716962074335,-0.307798639661057
-0.2932818378831014,-0.3042487172950317
-0.4134866973377183,-0.4084646865752207
-0.2791403725469334,-0.28605295813510734
-0.3385354320307222,-0.33702874985683645
-0.3668192112079483,-0.3655669681431472
-0.3074235860542321,-0.30436409324432545
-0.37247591047640083,-0.3740154179508554
-0.406415823252153,-0.4119877116284738
-0.4134866973377183,-0.41360933080672574
-0.406415823252153,-0.40609542214888855
-0.37954678456196617,-0.3712903280620335
-0.3088380437063087,-0.30194766884929236
-0.37530426011062756,-0.3797352827516896
-0.4516694173997738,-0.44445245622725066
-0.45874057432030285,-0.4526311364119839
-0.406415823252153,-0.4047534688491038
-0.43187096996018964,-0.43580240894917693
-0.492680487096055,-0.4855111259165363
-0.4516694173997738,-0.4425487110585509
-0.4559122246860771,-0.46250315507168116
-0.5082366929192633,-0.5084900637348465
-0.4346993195944164,-0.44773409948303017
-0.5421766056950155,-0.5341474929532954
-0.6142998042027495,-0.6085976549985531
-0.6652100976188229,-0.6662155230236517
-0.492680487096055,-0.507826336721552
-0.34702076376836416,-0.3081711636784318
-0.2763120229127067,-0.2670445971903891
-0.23388677839931257,-0.21462561862958413
-0.20843163169127593,-0.206615880021328
-0.1942896006851805,-0.1866632095008172
-0.19146125105095377,-0.18734004785699254
-0.19146125105095377,-0.1742872429182788
-0.19711795031940724,-0.19469054142366068
-0.23530067038146174,-0.23244179177615748
-0.2367148451985746,-0.227806208635157
-0.23954319483280134,-0.23535446644530167
-0.2367148451985746,-0.23646417826895924
-0.23954319483280134,-0.23549650008225623
-0.2367148451985746,-0.23463481464923105
-0.23388677839931257,-0.23117751574902
-0.23388677839931257,-0.22896135019000927
-0.23388677839931257,-0.22943430871574402
-0.22540172949663337,-0.2282312968259686
-0.22398727184455677,-0.22785081621607722
-0.22540172949663337,-0.22648620852788345
-0.2225730970274439,-0.22648620852788345
-0.22540172949663337,-0.22949669356575034
-0.2169163977589904,-0.2228981041163151
-0.21974474739321717,-0.23154498034968338
-0.22540172949663337,-0.23617806231136815
-0.2225730970274439,-0.23534913094655047
-0.22540172949663337,-0.23617806231136815
-0.23954319483280134,-0.241992479218109
-0.23954319483280134,-0.241992479218109
-0.2282300791308591,-0.23893672296527618
-0.2367148451985746,-0.24143198968793145
-0.2451998941012538,-0.2429836114289683
-0.2451998941012538,-0.24228856148470182
-0.24237154446702808,-0.24228856148470182
-0.24237154446702808,-0.24228856148470182
-0.24237154446702808,-0.24228856148470182
-0.2451998941012538,-0.24486707355921167
-0.2451998941012538,-0.24228856148470182
-0.2451998941012538,-0.24228856148470182
-0.45732611666822626,-0.46971618864284326
-0.4262142706917371,-0.4231018869898782
-0.264998341540838,-0.27696122587658495
-0.13206619156716495,-0.1403483853490025
-0.5902585494768621,-0.6196451757135636
-1.2761336186117036,-1.258778755516125
-1.3638121744377554,-1.270176959288463
-1.1644135252248011,-1.1683939951631508
-0.7698587512502325,-0.7774528983016268
-0.6482397169785017,-0.6051357307765847
-0.9056198165280587,-0.9100624071266598
-0.7953138979582691,-0.7829540383401963
-0.6397549509107862,-0.6380861284627047
-0.699150010394575,-0.7301488072361845
-0.728847964388915,-0.7367672528575601
